ID,Назва,Cost (закуп),Supplier Price (RRP),Rozetka Price (поточна),Base Before Round,Final Price (рекоменд.),Target Profit,Net Profit,Comm Used (%),Used RRP?,RRP Fallback?,Old Price Rec.
551257119,Офісний стіл з регулюванням висоти OfficePro ODM36...,3599.22,4499.0,4499,4939.0,4999,500.0,549.95,17.0,False,False,5998.8
551257116,Офісний стіл з регулюванням висоти OfficePro ODM32...,3039.18,3799.0,3799,4265.0,4299,500.0,528.99,17.0,False,False,5158.8
551257113,Комп’ютерний стіл з електрорегулюванням висоти Off...,8499.18,9999.0,9999,10795.0,10799,1000.0,1003.94,12.0,False,False,12958.8
551257098,Офісний стіл з регулюванням висоти OfficePro ODM36...,4799.22,4699.0,4699,6506.0,6599,600.0,677.95,17.0,False,False,7918.8
551257092,Комп’ютерний стіл GamePro GMD215,6799.2,8499.0,8499,8522.0,8599,700.0,767.92,12.0,False,True,10318.8
551257080,Комп’ютерний стіл GamePro GD012,3199.2,3999.0,3999,4457.0,4499,500.0,534.97,17.0,False,False,5398.8
551257077,Офісний стіл з регулюванням висоти OfficePro ODM32...,3039.18,3799.0,3799,4265.0,4299,500.0,528.99,17.0,False,False,5158.8
551257074,Комп’ютерний стіл з електрорегулюванням висоти And...,14399.22,17999.0,17999,17999.0,17999,1000.0,1439.9,12.0,True,False,22999.0
551257071,Офісний стіл з регулюванням висоти OfficePro ODM27...,2639.22,3299.0,3299,3816.0,3899,527.84,596.95,17.0,False,False,4678.8
551257068,Комп’ютерний стіл GamePro GDC216W,4799.22,5999.0,5999,6506.0,6599,600.0,677.95,17.0,False,False,7918.8
551257065,Комп’ютерний стіл з електрорегулюванням висоти And...,17599.2,21999.0,21999,21999.0,21999,1000.0,2859.87,7.0,True,False,25999.0
551257062,Комп’ютерний стіл з електрорегулюванням висоти Off...,7199.22,8999.0,8999,8999.0,8999,700.0,719.9,12.0,True,False,11999.0
551257059,Комп’ютерний стіл GamePro GD210B,2879.22,3599.0,3599,4163.0,4199,575.84,605.95,17.0,False,False,5038.8
551257050,Офісний стіл з регулюванням висоти OfficePro ODM27...,2639.22,3299.0,3299,3816.0,3899,527.84,596.95,17.0,False,False,4678.8
551257047,Комп’ютерний стіл GamePro GD112,3839.22,4799.0,4799,5228.0,5299,500.0,558.95,17.0,False,False,6358.8
551257044,Офісний стіл з регулюванням висоти OfficePro ODM40...,3999.18,4999.0,4999,6024.0,6099,1000.0,1062.99,17.0,False,False,7318.8
551257041,Офісний стіл з регулюванням висоти OfficePro ODM27...,2639.22,3299.0,3299,3816.0,3899,527.84,596.95,17.0,False,False,4678.8
551257038,Комп’ютерний стіл з електрорегулюванням висоти Off...,7199.22,8999.0,8999,8999.0,8999,700.0,719.9,12.0,True,False,12999.0
551257035,Комп’ютерний стіл GamePro GD212B,3199.2,3999.0,3999,4457.0,4499,500.0,534.97,17.0,False,False,5398.8
551257032,Комп’ютерний стіл з електрорегулюванням висоти Off...,7199.22,8999.0,8999,8999.0,8999,700.0,719.9,12.0,True,False,12999.0
551257029,Офісний стіл з регулюванням висоти OfficePro ODM46...,5359.2,6699.0,6699,7000.0,7099,600.0,887.92,12.0,False,True,8518.8
551257026,Комп’ютерний стіл GamePro GD014,3919.2,4899.0,4899,5325.0,5399,500.0,561.97,17.0,False,False,6478.8
